region,regionGSSCode,period,Sales volume,reportingPeriod,avgPrice,date
South East,E12000008,2004-08,19631,monthly,198248,01/08/2004
South West,E12000009,2004-08,11273,monthly,176345,01/08/2004
West Midlands Region,E12000005,2004-08,10316,monthly,140986,01/08/2004
London,E12000007,2004-09,13500,monthly,234134,01/09/2004
North East,E12000001,2004-09,4582,monthly,110489,01/09/2004
South East,E12000008,2004-09,16683,monthly,197736,01/09/2004
South West,E12000009,2004-09,9610,monthly,178524,01/09/2004
West Midlands Region,E12000005,2004-09,8760,monthly,141105,01/09/2004
London,E12000007,2004-10,12031,monthly,232287,01/10/2004
North East,E12000001,2004-10,4650,monthly,112205,01/10/2004
South East,E12000008,2004-10,15377,monthly,197557,01/10/2004
South West,E12000009,2004-10,9273,monthly,178088,01/10/2004
West Midlands Region,E12000005,2004-10,8606,monthly,142228,01/10/2004
London,E12000007,2004-11,10790,monthly,234718,01/11/2004
North East,E12000001,2004-11,3883,monthly,109566,01/11/2004
South East,E12000008,2004-11,13754,monthly,199497,01/11/2004
South West,E12000009,2004-11,8007,monthly,179185,01/11/2004
West Midlands Region,E12000005,2004-11,7595,monthly,142444,01/11/2004
London,E12000007,2004-12,10859,monthly,230185,01/12/2004
North East,E12000001,2004-12,4199,monthly,113511,01/12/2004
South East,E12000008,2004-12,13851,monthly,197794,01/12/2004
South West,E12000009,2004-12,7834,monthly,177553,01/12/2004
West Midlands Region,E12000005,2004-12,7816,monthly,142696,01/12/2004
London,E12000007,2005-01,8020,monthly,232422,01/01/2005
North East,E12000001,2005-01,2559,monthly,111474,01/01/2005
South East,E12000008,2005-01,9243,monthly,195620,01/01/2005
South West,E12000009,2005-01,5481,monthly,175838,01/01/2005
West Midlands Region,E12000005,2005-01,4909,monthly,140028,01/01/2005
London,E12000007,2005-02,7829,monthly,231321,01/02/2005
North East,E12000001,2005-02,2752,monthly,110454,01/02/2005
South East,E12000008,2005-02,9441,monthly,196482,01/02/2005
South West,E12000009,2005-02,5814,monthly,176020,01/02/2005
West Midlands Region,E12000005,2005-02,5427,monthly,141548,01/02/2005
London,E12000007,2005-03,9361,monthly,231263,01/03/2005
North East,E12000001,2005-03,3359,monthly,112596,01/03/2005
South East,E12000008,2005-03,11332,monthly,196494,01/03/2005
South West,E12000009,2005-03,6952,monthly,176376,01/03/2005
