region,Region GSS code,Period,Sales volume,Reporting period,percentage Change ,date
West Midlands Region,E12000005,2004-03,9281,monthly,17.41,01/03/2004
London,E12000007,2004-04,14873,monthly,8.61,01/04/2004
North East,E12000001,2004-04,5809,monthly,31.65,01/04/2004
South East,E12000008,2004-04,19484,monthly,8.34,01/04/2004
South West,E12000009,2004-04,12318,monthly,13.76,01/04/2004
West Midlands Region,E12000005,2004-04,10496,monthly,19.02,01/04/2004
London,E12000007,2004-05,13613,monthly,7.95,01/05/2004
North East,E12000001,2004-05,5267,monthly,32.63,01/05/2004
South East,E12000008,2004-05,18081,monthly,9.25,01/05/2004
South West,E12000009,2004-05,11178,monthly,14.48,01/05/2004
West Midlands Region,E12000005,2004-05,9982,monthly,18.62,01/05/2004
London,E12000007,2004-06,16163,monthly,10.15,01/06/2004
North East,E12000001,2004-06,6201,monthly,35.09,01/06/2004
South East,E12000008,2004-06,20246,monthly,9.53,01/06/2004
South West,E12000009,2004-06,12566,monthly,15.69,01/06/2004
West Midlands Region,E12000005,2004-06,10830,monthly,21.78,01/06/2004
London,E12000007,2004-07,17612,monthly,9.39,01/07/2004
North East,E12000001,2004-07,6208,monthly,32.93,01/07/2004
South East,E12000008,2004-07,21788,monthly,9.86,01/07/2004
South West,E12000009,2004-07,13212,monthly,16.08,01/07/2004
West Midlands Region,E12000005,2004-07,12045,monthly,21.58,01/07/2004
London,E12000007,2004-08,15020,monthly,10.41,01/08/2004
North East,E12000001,2004-08,5153,monthly,32.36,01/08/2004
South East,E12000008,2004-08,19631,monthly,11.54,01/08/2004
South West,E12000009,2004-08,11273,monthly,16.21,01/08/2004
West Midlands Region,E12000005,2004-08,10316,monthly,20.01,01/08/2004
London,E12000007,2004-09,13500,monthly,9.97,01/09/2004
North East,E12000001,2004-09,4582,monthly,30.41,01/09/2004
South East,E12000008,2004-09,16683,monthly,12.11,01/09/2004
South West,E12000009,2004-09,9610,monthly,16.82,01/09/2004
West Midlands Region,E12000005,2004-09,8760,monthly,20.74,01/09/2004
London,E12000007,2004-10,12031,monthly,8.24,01/10/2004
North East,E12000001,2004-10,4650,monthly,28.42,01/10/2004
South East,E12000008,2004-10,15377,monthly,10.25,01/10/2004
South West,E12000009,2004-10,9273,monthly,15.2,01/10/2004
West Midlands Region,E12000005,2004-10,8606,monthly,19.69,01/10/2004
London,E12000007,2004-11,10790,monthly,8.89,01/11/2004
North East,E12000001,2004-11,3883,monthly,23.52,01/11/2004
South East,E12000008,2004-11,13754,monthly,10.68,01/11/2004
South West,E12000009,2004-11,8007,monthly,16.13,01/11/2004
West Midlands Region,E12000005,2004-11,7595,monthly,17.91,01/11/2004
London,E12000007,2004-12,10859,monthly,6.09,01/12/2004
North East,E12000001,2004-12,4199,monthly,26.75,01/12/2004
South East,E12000008,2004-12,13851,monthly,9.46,01/12/2004
South West,E12000009,2004-12,7834,monthly,13.07,01/12/2004
